property_name,property_type,address,area,year,floors,developer,transaction_count,image_url,region,district,code
Sum Lung Industrial Building,Industrial,11 Sun Yip Street,,1975 Year,15 Floor(s),,7,https://hkis.centanet.com/oir/UVb5VdkBUVgYHxV-Y2FgYnxhYHxjaX5lZGFmZ387ITY=.jpg,HK_Island,Chai Wan,WS012
Yip Cheung Centre,Industrial,10 Fung Yip Street,,1985 Year,14 Floor(s),,6,https://hkis.centanet.com/oir/Wl3yXtIKWlMTFB51aGpraHdraHdpa3VubmJqYnQwKj0=.jpg,HK_Island,Chai Wan,WS012
Kailey Industrial Centre A,Industrial,12 Fung Yip Street,,1991 Year,19 Floor(s),Sun Hung Kai Properties Limited,6,https://hkis.centanet.com/oir/U1T7V9sDU1oaHRd8YWNiYH5jYn5ha3xnZmJjYX05IzQ=.jpg,HK_Island,Chai Wan,WS012
Shell Industrial Building,Industrial,12 Lee Chung Street,,1966 Year,12 Floor(s),,7,https://hkis.centanet.com/oir/Y2TLZ-szY2oqLSdMUVNRUk5SUk5SVkxQUFohVVBQJVIhVlZXUVFXWyZaV1dVJVJTJ1pTIiFVWk0JEwQ=.jpg,HK_Island,Chai Wan,WS012
Sino Favour Centre,Industrial,1 On Yip Street,,1996 Year,28 Floor(s),Sino Land Company Limited,1,https://hkis.centanet.com/oir/WF_wXNAIWFERFhx3amhpa3VoanVqandsbWlubnYyKD8=.jpg,HK_Island,Chai Wan,WS012
Wah Shing Centre (SSW),Industrial,5 Fung Yip Street,,1977 Year,12 Floor(s),,5,https://hkis.centanet.com/oir/bWrFaeU9bWQkIylCX11fXEBcXEBdXEIoKFlVXVopWCldXChZKykuVF1UXlldKF5UKC5cXlxcKUMHHQo=.jpg,HK_Island,Chai Wan,WS012
Hop Ming Factory Building,Industrial,6-10 On Yip Street,,1974 Year,14 Floor(s),,6,https://hkis.centanet.com/oir/Hhm2GpZOHhdXUFoxLC4sLzMvLzMuLzErW1pYWy0sXy4vJiYqWC1YXFwtKCcuXSgmJytYWl0vJjB0bnk=.jpg,HK_Island,Chai Wan,WS012
Kut Shing Building,Industrial,8 Kut Shing Street,,1982 Year,20 Floor(s),,4,https://hkis.centanet.com/oir/YGfIZOgwYGkpLiRPUlBSUU1RUU1QWU9QV1ZUJiQkIlIjIiJUVSVVISZXWCRQVyYhUVRWVFBZIU4KEAc=.jpg,HK_Island,Chai Wan,WS012
Cheung Lee Industrial Building,Industrial,9 Cheung Lee Street,,1989 Year,24 Floor(s),,4,https://hkis.centanet.com/oir/YmXKZuoyYmsrLCZNUFJQU09TU09SW00nW1UgVFtXV1ZRVFNWVCFVIyNbU1BbUVtUJCdQUSFbVUwIEgU=.jpg,HK_Island,Chai Wan,WS012
Eltee Building,Industrial,3 Ning Foo Street,,1975 Year,12 Floor(s),,5,https://hkis.centanet.com/oir/Xln2WtYOXlcXEBpxbG5vbXNuanNsanFqaG5taXA0Ljk=.jpg,HK_Island,Chai Wan,WS012
Chaiwan Industrial Centre,Industrial,20 Lee Chung Street,,1976 Year,23 Floor(s),,3,https://hkis.centanet.com/oir/ExS7F5tDExpaXVc8ISMhIj4iIj4jKjwnJSVXUVclJyRVVysnJlYlKyQiVyIkKiMiK1AjVyYgJD15Y3Q=.jpg,HK_Island,Chai Wan,WS012
Hop Shi Factory Building,Industrial,29-31 Lee Chung Street,,1965 Year,10 Floor(s),,1,https://hkis.centanet.com/oir/bmnGauY-bmcnICpBXF5cX0NfX0NeV0FZK1xZWF5ZVy9eXi1aXFlYLFlWL1cvW19WVlpWWSsvV0AEHgk=.jpg,HK_Island,Chai Wan,WS012
Kailey Industrial Centre B,Industrial,12 Fung Yip Street,,1991 Year,19 Floor(s),Sun Hung Kai Properties Limited,3,https://hkis.centanet.com/oir/VVL9Ud0FVVwcGxF6Z2VlbXhlY3hnbXpkYm1iZXs_JTI=.jpg,HK_Island,Chai Wan,WS012
MP Industrial Centre Block B,Industrial,18 Ka Yip Street,,1992 Year,19 Floor(s),New World Development Company Limited,2,https://hkis.centanet.com/oir/UlX6VtoCUlsbHBZ9YGJian9iZH9gan1jZWtnZnw4IjU=.jpg,HK_Island,Chai Wan,WS012
Kantone Centre,Industrial,1 Ning Foo Street,,1968 Year,9 Floor(s),,1,https://hkis.centanet.com/oir/FhG-Ep5GFh9fWFI5JCYkJzsnJzsmLzlSLlAuJyAuUy9UISEiVFMhL1QhUiYkVScnIlMvJidQIzh8ZnE=.jpg,HK_Island,Chai Wan,WS012
MP Industrial Centre Block A,Industrial,18 Ka Yip Street,,1992 Year,18 Floor(s),New World Development Company Limited,2,https://hkis.centanet.com/oir/WV7xXdEJWVAQFx12a2lpYXRpb3RrYXZobmBqYHczKT4=.jpg,HK_Island,Chai Wan,WS012
