building_key,leasinghub_id,leasinghub_original_key,leasinghub_name,centanet_id,centanet_original_key,centanet_name,match_score
LH_6306,6306,6306,Times Tower,6f0d13c4-aa3f-4952-bf85-f6c68248cd28,6f0d13c4-aa3f-4952-bf85-f6c68248cd28,Times Tower (CSW),90.0
LH_1507,1507,1507,Times Tower,2ea5bc6b-fdb7-4ccb-b655-eefc93e901c0,2ea5bc6b-fdb7-4ccb-b655-eefc93e901c0,Times Tower,90.0
LH_7361,7361,7361,Tins Enterprises Centre,9b55358b-e90e-4fb6-8b03-2cbafe8b551a,9b55358b-e90e-4fb6-8b03-2cbafe8b551a,Tin's Enterprises Centre,86.4
LH_1480,1480,1480,Tower 535,9d5039c7-3897-4bec-a4de-9eab0d9b2bf7,9d5039c7-3897-4bec-a4de-9eab0d9b2bf7,Tower 535,90.0
LH_6310,6310,6310,Trade Square,c0599227-eeeb-44d0-a066-711df674cd6c,c0599227-eeeb-44d0-a066-711df674cd6c,Trade Square,90.0
LH_3309,3309,3309,Trendy Centre,48d2989f-eafc-49d2-b434-51567216820d,48d2989f-eafc-49d2-b434-51567216820d,Trendy Centre,90.0
LH_2662,2662,2662,Tsim Sha Tsui Centre,84a3ada9-5da0-4ad7-960b-593224794a20,84a3ada9-5da0-4ad7-960b-593224794a20,Tsim Sha Tsui Centre,90.0
LH_11760,11760,11760,Tuen Mun Central Square,c4234337-d47d-4f4e-8421-93e7cafd9b50,c4234337-d47d-4f4e-8421-93e7cafd9b50,Tuen Mun Central Square,90.0
LH_15,15,15,Tung Hip Commercial Building,aa36891d-ccd2-4752-be59-24f0fd50c603,aa36891d-ccd2-4752-be59-24f0fd50c603,Tung Hip Commercial Building,88.6
LH_4967,4967,4967,Tungtex Building,8855a6cc-3a4f-4a55-81e7-ed0d0f9ed520,8855a6cc-3a4f-4a55-81e7-ed0d0f9ed520,Tungtex Building,90.0
LH_93,93,93,Two Chinachem Central,1a2dd93e-fdca-4759-9a7e-be91ff9cbadb,1a2dd93e-fdca-4759-9a7e-be91ff9cbadb,Two Chinachem Central,90.0
LH_132,132,132,Two Chinachem Plaza,5bc62c40-5659-4617-ac3d-1383479b18c9,5bc62c40-5659-4617-ac3d-1383479b18c9,Two Chinachem Plaza,90.0
LH_1197,1197,1197,Two Exchange Square,12511064-0b98-4e5a-b1b3-aa2ed036db1c,12511064-0b98-4e5a-b1b3-aa2ed036db1c,Two Exchange Square,90.0
LH_4924,4924,4924,Two Harbour Square,57712665-5f99-4519-bd95-bcb8ac35240f,57712665-5f99-4519-bd95-bcb8ac35240f,Two Harbour Square,90.0
LH_10605,10605,10605,Two International Finance Centre,84309e3e-ff8f-4406-9c3a-cbef2b47bcf0,84309e3e-ff8f-4406-9c3a-cbef2b47bcf0,Two International Finance Centre,90.0
LH_1122,1122,1122,Two Pacific Place,2eefdbb6-4028-4632-aa50-d499942f7176,2eefdbb6-4028-4632-aa50-d499942f7176,Two Pacific Place,90.0
LH_12438,12438,12438,Two Portside,c92689ec-0b3d-4e1c-bc61-d2e0f4cd2ce5,c92689ec-0b3d-4e1c-bc61-d2e0f4cd2ce5,Two Portside,90.0
LH_4733,4733,4733,Two Sky Parc,8d8161c5-e310-4f74-9137-910fdfb4c50c,8d8161c5-e310-4f74-9137-910fdfb4c50c,Two Sky Parc,90.0
LH_969,969,969,United Asia Finance Centre,9619b786-6735-40e0-9bc6-9061bb1c8516,9619b786-6735-40e0-9bc6-9061bb1c8516,United Asia Finance Centre,90.0
LH_1123,1123,1123,United Centre,8945cdfc-f462-48e6-a917-b6e0be4709bf,8945cdfc-f462-48e6-a917-b6e0be4709bf,United Centre,90.0
LH_2281,2281,2281,Universal Trade Centre,14fbcde1-c486-4eae-860b-7f9c6bb25979,14fbcde1-c486-4eae-860b-7f9c6bb25979,Universal Trade Centre,88.2
LH_137,137,137,V Heun Building,65deb996-da0a-451a-b847-6c29dc918dde,65deb996-da0a-451a-b847-6c29dc918dde,V Heun Building,90.0
LH_11522,11522,11522,Vertical SQ,aacfd1af-fe02-44d7-90c1-5c1432439e4b,aacfd1af-fe02-44d7-90c1-5c1432439e4b,Vertical Sq,100.0
LH_7221,7221,7221,W Luxe,6080e9b4-86ab-4fb6-b331-58af3ed40593,6080e9b4-86ab-4fb6-b331-58af3ed40593,W Luxe,88.8
LH_3811,3811,3811,W50,7bda95c4-ce09-46ed-a948-90015c9d2943,7bda95c4-ce09-46ed-a948-90015c9d2943,W50,100.0
LH_2980,2980,2980,Wai Fung Plaza,7d0d8731-5a44-4367-aff7-37095c8113b1,7d0d8731-5a44-4367-aff7-37095c8113b1,Wai Fung Plaza,90.0
LH_635,635,635,Wayson Commercial Building,0efc380f-0f8c-44ff-9b3d-441e8e7ffffa,0efc380f-0f8c-44ff-9b3d-441e8e7ffffa,Wayson Commercial Building,90.0
LH_12498,12498,12498,Wealth Commercial Centre,1e1c09e3-b231-4cc5-a7e3-cf15095998be,1e1c09e3-b231-4cc5-a7e3-cf15095998be,Wealth Commercial Centre,90.0
