Name,Address,Blocks,Units,Unit Rate,MoM,Trans Record,For Sale,For Rent,Estate Link,Region,District,Subdistrict,Code
Ka On Building,"27 New Praya, Kennedy Town",2,96,--,--,--,2,--,https://hk.centanet.com/estate/en/Ka-On-Building/2-SSWSWPGHPS,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111
Luen Gay Apartments,124-134 Belcher's Street,1,268,--,--,--,2,--,https://hk.centanet.com/estate/en/Luen-Gay-Apartments/2-TTHLTHMHHT,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111
Tai Sang Building,1A Sands Street,1,79,--,--,--,2,--,https://hk.centanet.com/estate/en/Tai-Sang-Building/2-TTMNTHSAHT,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111
Wai Wah Court,12R Smithfield,1,112,--,--,--,2,--,https://hk.centanet.com/estate/en/Wai-Wah-Court/2-TTXDTHLYHT,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111
Nan Sang Building,86 Belcher's Street,1,54,--,--,--,1,--,https://hk.centanet.com/estate/en/Nan-Sang-Building/2-TTXXTHMVHT,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111
Tai Hong Building,1D Holland Street,1,92,--,--,--,1,2,https://hk.centanet.com/estate/en/Tai-Hong-Building/2-SSAEPPGEPS,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111
Sai Wan New Apartments,177-185 Belcher's Street,1,109,--,--,--,1,2,https://hk.centanet.com/estate/en/Sai-Wan-New-Apartments/2-TTDLZHTYHT,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111
32-34 Li Po Lung Path,32-34 Li Po Lung Path,1,19,--,--,--,--,--,https://hk.centanet.com/estate/en/32-34-Li-Po-Lung-Path/2-SSAPGPGHPS,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111
Shun Fai Building,19 Hau Wo Street,1,71,--,--,--,1,1,https://hk.centanet.com/estate/en/Shun-Fai-Building/2-SSDEPPBXPS,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111
Hing Wong Building,"23 New Praya, Kennedy Town",1,116,--,--,--,1,1,https://hk.centanet.com/estate/en/Hing-Wong-Building/2-SSYSWPGXPS,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111
Tse Land Mansion,39-43 Sands Street,1,38,--,--,--,1,1,https://hk.centanet.com/estate/en/Tse-Land-Mansion/2-TTISZHSJHT,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111
Luen On Apartments,51 Smithfield,1,160,--,--,--,1,1,https://hk.centanet.com/estate/en/Luen-On-Apartments/2-TTNIIHSRHT,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111
Fook On Mansion,23-25 North Street,1,92,--,--,--,1,--,https://hk.centanet.com/estate/en/Fook-On-Mansion/2-OORFURJXRO,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111
10 Tai Pak Terrace,10 Tai Pak Terrace,1,12,--,--,--,--,--,https://hk.centanet.com/estate/en/10-Tai-Pak-Terrace/2-OORQQRCSRO,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111
Yue On Building,78-86 Catchick Street,1,40,--,--,--,1,--,https://hk.centanet.com/estate/en/Yue-On-Building/2-OORRFRQVRO,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111
Kam Tong Mansion (Building),139-153 Belcher's Street,1,29,"$12,579/ ft²",--,1,1,--,https://hk.centanet.com/estate/en/Kam-Tong-Mansion-Building/2-OOUFQROSRO,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111
Kam Hing Building,27-31 Catchick Street,1,42,--,--,--,1,--,https://hk.centanet.com/estate/en/Kam-Hing-Building/2-SSBKWPESPS,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111
1-3 Ching Lin Terrace,1-3 Ching Lin Terrace,1,46,--,--,--,1,--,https://hk.centanet.com/estate/en/1-3-Ching-Lin-Terrace/2-SSDEWPAVPS,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111
Jade Lotus Garden,11 Ching Lin Terrace,1,46,--,--,--,1,--,https://hk.centanet.com/estate/en/Jade-Lotus-Garden/2-SSDPPPKXPS,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111
Sands House,10-18 Sands Street,1,44,--,--,--,1,--,https://hk.centanet.com/estate/en/Sands-House/2-SSDSBPYEPS,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111
Hau Wo Court,25-33 Hau Wo Street,1,41,--,--,--,1,--,https://hk.centanet.com/estate/en/Hau-Wo-Court/2-SSEBPPBEPS,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111
Nan Hai Mansion,"46-47 Praya, Kennedy Town",1,172,--,--,--,1,--,https://hk.centanet.com/estate/en/Nan-Hai-Mansion/2-SSGYGPDHPS,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111
Leader House,57-61 Belcher's Street,1,38,--,--,--,1,--,https://hk.centanet.com/estate/en/Leader-House/2-SSGYWPPVPS,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111
Ka Ming Building,56A-56B Belcher's Street,1,31,--,--,--,1,--,https://hk.centanet.com/estate/en/Ka-Ming-Building/2-SSKKPPEYPS,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111
La Maison Du Nord,12A North Street,1,75,--,--,--,1,--,https://hk.centanet.com/estate/en/La-Maison-Du-Nord/2-SSPPWPPJPG,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111
Shun Hing Building,22-34 Catchick Street,1,88,--,--,--,1,--,https://hk.centanet.com/estate/en/Shun-Hing-Building/2-SSWPBPAHPS,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111
Shun On Building,2 Sands Street,1,72,--,--,--,1,--,https://hk.centanet.com/estate/en/Shun-On-Building/2-SSWPBPYRPS,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111
Grand Fortune Mansion,1-1A Davis Street,1,92,--,--,--,1,--,https://hk.centanet.com/estate/en/Grand-Fortune-Mansion/2-SSYBPPKJPS,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111
Chester Court,"6-8 Praya, Kennedy Town",1,138,--,--,--,1,--,https://hk.centanet.com/estate/en/Chester-Court/2-TTIHZHDXHX,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111
Wah Po Building,"1 New Praya, Kennedy Town",1,189,--,--,--,1,--,https://hk.centanet.com/estate/en/Wah-Po-Building/2-TTISIHXVHT,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111
Hoi Lee Building,29-31 Sands Street,1,16,--,--,--,--,--,https://hk.centanet.com/estate/en/Hoi-Lee-Building/2-TTLZZHSXHT,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111
