Name,Address,Blocks,Units,Unit Rate,MoM,Trans Record,For Sale,For Rent,Region,District,Subdistrict,Code,Area_URL
Ching Lin Court,4-6 Ching Lin Terrace,1,36,--,--,--,3,--,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,https://hk.centanet.com/findproperty/en/list/estate/kennedy-town_19-HMA111?q=yz93tentf5
May Sun Building,55-57 Catchick Street,1,131,--,--,--,3,--,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,https://hk.centanet.com/findproperty/en/list/estate/kennedy-town_19-HMA111?q=yz93tentf5
Westview Height,163 Belcher's Street,1,66,"$15,152/ ft²",1.79%,1,3,--,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,https://hk.centanet.com/findproperty/en/list/estate/kennedy-town_19-HMA111?q=yz93tentf5
Ivy On Belcher's,26 Belcher's Stret,1,140,"$21,308/ ft²",29.98%,1,3,--,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,https://hk.centanet.com/findproperty/en/list/estate/kennedy-town_19-HMA111?q=yz93tentf5
Hang (Han) Yu Building,45-55 Cadogan Street,1,136,--,--,--,3,--,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,https://hk.centanet.com/findproperty/en/list/estate/kennedy-town_19-HMA111?q=yz93tentf5
Regent Height,80 Victoria Road,1,63,--,--,--,3,--,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,https://hk.centanet.com/findproperty/en/list/estate/kennedy-town_19-HMA111?q=yz93tentf5
Huncliff Court,70 Victoria Road,1,38,--,--,--,3,--,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,https://hk.centanet.com/findproperty/en/list/estate/kennedy-town_19-HMA111?q=yz93tentf5
Full Harvest Building,6-18 Hau Wo Street,1,96,--,--,--,2,1,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,https://hk.centanet.com/findproperty/en/list/estate/kennedy-town_19-HMA111?q=yz93tentf5
Hee Wong Terrace,1 Hee Wong Terrace,12,188,--,--,--,2,1,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,https://hk.centanet.com/findproperty/en/list/estate/kennedy-town_19-HMA111?q=yz93tentf5
Mount Davis,33 Ka Wai Man Road,1,89,--,--,--,2,1,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,https://hk.centanet.com/findproperty/en/list/estate/kennedy-town_19-HMA111?q=yz93tentf5
