ID,Name,Street Name,Area Name,Year Built,Highest Floor,Typical Floor Area,District Name,Latitude,Longitude,Grade,Min Rent,Max Rent,Min Price,Max Price
6174,6 Wilmer Street,6 Wilmer Street,Sheung Wan,1996,26,"2,918 - 3,049",Central and Western District,22.287400996,114.144689992,B,28.65,35.47,,
1252,60 Wellington Street,60 Wellington Street,Central,1991,13,485 - 750,Central and Western District,22.282005005,114.155186008,C,,,,
1683,633 King's Road,633 King's Road,Quarry Bay,2007,,"10,045",Eastern District,22.2921360032399,114.20695706508181,A,0,26,,
17755,64-70 Wellington Street,64-70 Wellington Street,Central,2024,,,Central and Western District,22.282113,114.155104,,,,,
2957,655 Nathan Road,655 Nathan Road,Mongkok,1966,,"7,000",Yau Tsim Mong District,22.3185003,114.1692486,B,32,35,,
6537,68 Kimberley Road,68 Kimberley Road,Tsimshatsui,2019,,"5,891",Yau Tsim Mong District,22.3015016,114.1753262,B+,40,45,,
1621,68 Yee Wo Street,68 Yee Wo Street,Causeway Bay,1993,22,"10,733",Wanchai District,22.2792253,114.1864843,A,31,32,,
3069,700 Nathan Road,700 Nathan Road,Mongkok,1984,22,"7,200 - 11,703",Yau Tsim Mong District,22.320589007,114.169457009,A,45,45,,
2848,726 Nathan Road,726 Nathan Road,Mongkok,2014,,,Yau Tsim Mong District,22.3212111,114.169166,A,34.09,34.09,,
5606,73-75 Hoi Yuen Road,73-75 Hoi Yuen Road,Kwun Tong,,,,Kwun Tong District,22.31103319512181,114.2253576049904,,,,,
1260,76 Wellington Street,76 Wellington Street,Central,1966,5,747,Central and Western District,22.28253909394503,114.15501141804508,C,,,,
17778,77 How Ming Street,77 How Ming Street,Kwun Tong,2026,38,"6,700 - 9,700",Kwun Tong District,22.3133144,114.220335,A,,,,
5647,8 Gilman's Bazaar,8-12 Gilman's Bazaar,Sheung Wan,1973,,,Central and Western District,22.284747999,114.154038006,C,,,,
6636,8 Hart Avenue,8 Hart Avenue,Tsimshatsui,1997,,"4,322",Yau Tsim Mong District,22.2981918,114.1747291,B,26,43.96,,
3549,8 Jordan Road,6-8 Jordan Road,Jordan,2002,,"4,606",Yau Tsim Mong District,22.3054284,114.1724512,B,,,,
3728,8 Lyndhurst Terrace,2-10 Lyndhurst Terrace,Central,1979,19,"1,546",Central and Western District,22.282404003,114.154739993,B+,,,,
