queriedDistrict,queriedCode,propertyID,buildingNameEn,address,developers,opDateDisplayName,floorDisplayName,districtNameEn,zoneEn,sellCount,rentCount,transCount
Chai Wan,WS012,ef477ad2-09c4-47f6-9279-d5f3143f2565,MP Industrial Centre Block B,18 Ka Yip Street,New World Development Company Limited,1992 Year,19 Floor(s),Chai Wan,Hong Kong,2,1,3
Chai Wan,WS012,cafea46c-4929-41d5-b888-c15dd3f7d52b,Kantone Centre,1 Ning Foo Street,,1968 Year,9 Floor(s),Chai Wan,Hong Kong,1,2,6
Chai Wan,WS012,3cbc7f82-b6ed-423b-b172-1fb0dc2f9e50,MP Industrial Centre Block A,18 Ka Yip Street,New World Development Company Limited,1992 Year,18 Floor(s),Chai Wan,Hong Kong,2,0,1
Chai Wan,WS012,338c1a8e-e92b-4fe7-aa3b-b1eeb38f6cb9,Hong Kong (Chai Wan) Industrial Building,26 Lee Chung Street,,1965 Year,9 Floor(s),Chai Wan,Hong Kong,0,2,0
Chai Wan,WS012,87d769ce-447b-49b2-b79c-a85e5a68054e,Sze Hing Industrial Building,37 Lee Chung Street,,1972 Year,12 Floor(s),Chai Wan,Hong Kong,2,0,2
Chai Wan,WS012,b92534b2-5e3f-4dbf-9cb2-4c79cf0d13b1,Prince Industrial Building (SSW),5 Sun Yip Street,,1977 Year,13 Floor(s),Chai Wan,Hong Kong,0,2,1
Chai Wan,WS012,bf52c59c-371d-44da-b42b-542d0e735ca1,Reality Tower,4 San On Street,,1977 Year,14 Floor(s),Chai Wan,Hong Kong,0,1,11
Chai Wan,WS012,d5959dc5-22b7-4bed-8110-7150bda217a2,Glory Industrial Building,22 Lee Chung Street,,1968 Year,12 Floor(s),Chai Wan,Hong Kong,0,0,0
Chai Wan,WS012,8b0aff5a-1d8c-4cd4-9bd8-082ab9c7ed29,Chung On Industrial Building,28 Lee Chung Street,,1965 Year,9 Floor(s),Chai Wan,Hong Kong,0,0,0
Chai Wan,WS012,feb5cbee-9939-4363-8894-7ec100a07fd4,Gee Tung Chang Industrial Building,4 Fung Yip Street,,1982 Year,14 Floor(s),Chai Wan,Hong Kong,0,0,2
Chai Wan,WS012,3b084017-747e-419f-81c8-25f85cae4472,Summit Industrial Building,9 Sun Yip Street,,1982 Year,14 Floor(s),Chai Wan,Hong Kong,0,0,1
