building_key,leasinghub_id,leasinghub_original_key,leasinghub_name,midland_id,midland_original_key,midland_name,match_score
LH_2771,2771,2771,AT Tower,B000054003,B000054003,At Tower,90.0
LH_1174,1174,1174,Aubin House,B000007605,B000007605,Aubin House,88.8
LH_2743,2743,2743,Austin Commercial Centre,B000018131,B000018131,Austin Commercial Centre,88.2
LH_2738,2738,2738,Austin Tower,B000081909,B000081909,Austin Tower Phase I,90.0
LH_48,48,48,Bangkok Bank Building,B000007657,B000007657,Bangkok Bank Building,84.2
LH_1133,1133,1133,Bank of America Tower,B000007648,B000007648,Bank Of America Tower,90.0
LH_3045,3045,3045,Bank of China Mongkok Commercial Centre,B000020970,B000020970,Boc Mongkok Commercial Centre,83.4
LH_1160,1160,1160,Bank of East Asia Harbour View Centre,B000007609,B000007609,Bank Of East Asia Harbour View Centre,88.4
LH_1685,1685,1685,Bank Tower,B000007480,B000007480,Bank Tower,90.0
LH_1429,1429,1429,Bayfield Building,B000007299,B000007299,Bayfield Building,88.2
LH_5703,5703,5703,BCC Building,B000018167,B000018167,Bcc Building,90.0
LH_4732,4732,4732,Benson Tower,B000059665,B000059665,Benson Tower,90.0
LH_6592,6592,6592,Best-O-Best Commercial Centre,B000018202,B000018202,Best-o-best Commercial Centre,90.0
LH_3203,3203,3203,Beverley Commercial Centre,B000018206,B000018206,Beverley Commercial Centre,90.0
LH_4496,4496,4496,Billion Centre,B000066769,B000066769,Billion Centre Tower B,90.0
LH_7437,7437,7437,Billion Plaza,B000052931,B000052931,Billion Plaza,90.0
LH_7431,7431,7431,Billion Plaza II,B000078476,B000078476,Billion Plaza 2,85.8
LH_6591,6591,6591,Boss Commercial Centre,B000018245,B000018245,Boss Commercial Centre,90.0
LH_17446,17446,17446,Boton Technology Innovation Tower,B000101516,B000101516,Boton Technology Innovation Tower,90.0
LH_6557,6557,6557,Bright Way Tower,B000007330,B000007330,Bright Way Tower,90.0
LH_643,643,643,Bupa Centre,B000018273,B000018273,Bupa Centre,88.4
LH_4968,4968,4968,C-BONS International Center,B000066942,B000066942,C-bons International Center,90.0
LH_1374,1374,1374,C.C. Wu Building,B000018279,B000018279,C C Wu Building,88.6
LH_1375,1375,1375,Caltex House,B000018289,B000018289,Caltex House,88.4
LH_1376,1376,1376,Cameron Commercial Centre,B000007704,B000007704,Cameron Commercial Centre,90.0
LH_1152,1152,1152,Capital Centre,B000007614,B000007614,Capital Centre,90.0
LH_1904,1904,1904,Carnival Commercial Building,B000007701,B000007701,Carnival Commercial Building,90.0
LH_11523,11523,11523,Casey Aberdeen House,B000080486,B000080486,Casey Aberdeen House,90.0
LH_3174,3174,3174,Catic Plaza,B000007706,B000007706,Catic Plaza,90.0
LH_2547,2547,2547,Causeway Bay Centre,B000007708,B000007708,Causeway Bay Centre,77.0
LH_2546,2546,2546,Causeway Bay Commercial Building,B000007707,B000007707,Causeway Bay Commercial Building,77.4
LH_1384,1384,1384,Causeway Bay Plaza 1,B000007762,B000007762,Causeway Bay Plaza,90.0
LH_977,977,977,Causeway Bay Plaza 2,B000053974,B000053974,Causeway Bay Plaza 2,90.0
LH_1282,1282,1282,Central Building,B000018361,B000018361,Central Building,82.2
LH_2007,2007,2007,Central Plaza,B000063603,B000063603,Central Plaza,90.0
LH_145,145,145,Central Tower,B000018367,B000018367,Central Tower,90.0
LH_6852,6852,6852,Century House,B000018373,B000018373,Century House,90.0
LH_2655,2655,2655,CFC Tower,B000018376,B000018376,Cfc Tower,87.8
LH_3007,3007,3007,Champion Building,B000052953,B000052953,Champion Building,90.0
LH_1412,1412,1412,Chang Pao Ching Building,B000007281,B000007281,Chang Pao Ching Building,88.6
LH_3224,3224,3224,Cheuk Nang Centre,B000018482,B000018482,Cheuk Nang Centre,87.6
LH_16759,16759,16759,Cheung Kei Center Tower A,B000007206,B000007206,Cheung Tat Centre,75.19999999999999
LH_17517,17517,17517,Cheung Kong Center II,B000112476,B000112476,Cheung Kong Center Ii,88.2
LH_6511,6511,6511,Cheung Lee Commercial Building,B000018520,B000018520,Cheung Lee Commercial Building,90.0
LH_6311,6311,6311,Cheung Sha Wan Plaza Tower 1,B000054979,B000054979,Cheung Sha Wan Plaza Tower Ii,87.6
LH_4552,4552,4552,Chevalier Commercial Centre,B000007220,B000007220,Chevalier Commercial Centre,90.0
LH_3207,3207,3207,Chevalier House,B000018570,B000018570,Chevalier House,90.0
LH_1690,1690,1690,China Harbour Building,B000007477,B000007477,China Harbour Building,88.6
LH_2291,2291,2291,China Hong Kong City Tower 1,B000061846,B000061846,China Hong Kong City China Ferry Terminal Tower 1,90.0
LH_2292,2292,2292,China Hong Kong City Tower 2,B000061847,B000061847,China Hong Kong City China Ferry Terminal Tower 2,90.0
LH_2293,2293,2293,China Hong Kong City Tower 3,B000061848,B000061848,China Hong Kong City China Ferry Terminal Tower 3,90.0
LH_2300,2300,2300,China Hong Kong City Tower 5,B000061849,B000061849,China Hong Kong City China Ferry Terminal Tower 5,90.0
LH_2294,2294,2294,China Hong Kong City Tower 6,B000061850,B000061850,China Hong Kong City China Ferry Terminal Tower 6,90.0
LH_22,22,22,China Insurance Group Building,B000007664,B000007664,China Insurance Group Building,80.2
LH_1382,1382,1382,China Overseas Building,B000007311,B000007311,China Overseas Building,88.4
LH_2006,2006,2006,China Resources Building,B000018626,B000018626,China Resources Building,90.0
LH_6270,6270,6270,China Shipbuilding Tower,B000083965,B000083965,China Shipbuilding Tower,90.0
LH_6153,6153,6153,China United Centre,B000053077,B000053077,China United Centre,90.0
LH_1163,1163,1163,Chinachem Century Tower,B000063596,B000063596,Chinachem Century Tower,88.6
LH_2663,2663,2663,Chinachem Golden Plaza,B000062493,B000062493,Chinachem Golden Plaza,80.2
LH_1574,1574,1574,Chinachem Johnston Plaza,B000007450,B000007450,Chinachem Johnston Plaza,88.6
LH_1502,1502,1502,Chinaweal Centre,B000007174,B000007174,Chinaweal Centre,88.4
LH_38,38,38,Chung Nam House,B000054917,B000054917,Chung Nam House,86.2
LH_1413,1413,1413,Chung Pont Commercial Building,B000018796,B000018796,Chung Pont Commercial Building,88.4
LH_7628,7628,7628,Citic Telecom Tower,B000059871,B000059871,Citic Telecom Tower,90.0
LH_1957,1957,1957,Citicorp Centre,B000054050,B000054050,Citicorp Centre,90.0
LH_6470,6470,6470,Citimark,B000018826,B000018826,Citimark,90.0
LH_1403,1403,1403,CKK Commercial Centre,B000062591,B000062591,Ckk Commercial Centre,88.4
LH_1579,1579,1579,CNT House,B000007445,B000007445,Cnt House,88.4
LH_1380,1380,1380,CNT Tower,B000054110,B000054110,Cnt Tower,90.0
LH_1146,1146,1146,Cofco Tower,B000024129,B000024129,Cofco Tower,88.0
LH_7436,7436,7436,Comweb Plaza,B000007242,B000007242,Comweb Plaza,90.0
LH_1640,1640,1640,Concord Commercial Building,B000007416,B000007416,Concord Commercial Building,90.0
LH_3105,3105,3105,Concordia Plaza,B000018865,B000018865,Seapower Tower concordia Plaza,90.0
LH_2248,2248,2248,Connaught Commercial Building,B000018870,B000018870,Connaught Commercial Building,83.4
LH_2005,2005,2005,Convention Plaza Office Tower,B000007608,B000007608,Office Tower Convention Plaza,90.0
LH_3776,3776,3776,Corn Yan Centre,B000018879,B000018879,Corn Yan Centre,90.0
LH_8169,8169,8169,Corporation Park,B000020502,B000020502,Corporation Park,90.0
LH_7182,7182,7182,COS Centre,B000078832,B000078832,Cos Centre,88.4
LH_164,164,164,Cosco Tower,B000062640,B000062640,Cosco Tower,84.4
LH_5597,5597,5597,Crocodile Center,B000062696,B000062696,Crocodile Center,90.0
LH_6052,6052,6052,D2 Place One,B000055081,B000055081,D2 Place One,90.0
LH_8019,8019,8019,D2 Place Two,B000055082,B000055082,D2 Place 2,83.4
LH_17962,17962,17962,De Hua Tower,B000122069,B000122069,De Hua Tower,90.0
LH_17702,17702,17702,DL Tower,B000108713,B000108713,Dl Tower,88.6
LH_366,366,366,Dominion Centre,B000054105,B000054105,Dominion Centre,90.0
LH_4439,4439,4439,E-Trade Plaza,B000074219,B000074219,E-trade Plaza,90.0
LH_1392,1392,1392,Easey Commercial Building,B000007284,B000007284,Easey Commercial Building,86.6
LH_2619,2619,2619,East Ocean Centre,B000007294,B000007294,East Ocean Centre,90.0
LH_1378,1378,1378,East Point Centre,B000007303,B000007303,East Point Centre,87.8
LH_1381,1381,1381,Eastern Commercial Centre,B000007279,B000007279,Eastern Commercial Centre,76.2
LH_12143,12143,12143,EDGE,B000064189,B000064189,Edge,90.0
LH_1402,1402,1402,Effectual Building,B000007273,B000007273,Effectual Building,90.0
LH_4738,4738,4738,EGL Tower,B000059664,B000059664,Egl Tower,90.0
LH_4713,4713,4713,Elite Centre,B000071821,B000071821,Elite Centre,90.0
LH_1386,1386,1386,Emperor Group Centre,B000054106,B000054106,Emperor Group Centre,87.8
LH_2666,2666,2666,Empire Centre,B000019029,B000019029,Empire Centre,90.0
LH_3206,3206,3206,Empress Plaza,B000019030,B000019030,Empress Plaza,90.0
LH_2617,2617,2617,Energy Plaza,B000019032,B000019032,Energy Plaza,90.0
LH_5237,5237,5237,Enterprise Square Five Tower 1,B000062009,B000062009,Enterprise Square Five Tower 1,90.0
LH_5235,5235,5235,Enterprise Square Five Tower 2,B000062010,B000062010,Enterprise Square Five Tower 2,90.0
LH_5238,5238,5238,Enterprise Square Three,B000059604,B000059604,Enterprise Square Three,90.0
LH_15085,15085,15085,Enterprise Square Tower 1,B000007857,B000007857,Enterprise Square Tower 1,90.0
LH_15086,15086,15086,Enterprise Square Tower 2,B000007859,B000007859,Enterprise Square Tower 2,90.0
LH_15087,15087,15087,Enterprise Square Tower 3,B000007861,B000007861,Enterprise Square Tower 3,90.0
LH_15084,15084,15084,Enterprise Square Two,B000059595,B000059595,Enterprise Square Two,90.0
LH_3202,3202,3202,Eu Yan Sang Tower,B000060702,B000060702,Eu Yan Sang Tower,90.0
LH_5351,5351,5351,Ever Gain Building (No.3),B000066961,B000066961,Ever Gain Building (no.3),90.0
LH_7250,7250,7250,Ever Gain Plaza Tower 1,B000053017,B000053017,"Ver Gain Plaza, Tower One",83.4
LH_1158,1158,1158,Everbright Centre,B000018914,B000018914,Everbright Centre,88.6
LH_3298,3298,3298,Excel Centre,B000071134,B000071134,Excel Centre,90.0
LH_5239,5239,5239,Exchange Tower,B000063754,B000063754,Exchange Tower,90.0
LH_2003,2003,2003,Fairmont House,B000007649,B000007649,Fairmont House,90.0
LH_27,27,27,Far East Consortium Building,B000007672,B000007672,Far East Consortium Building,77.6
LH_1132,1132,1132,Far East Finance Centre,B000007650,B000007650,Far East Finance Centre,90.0
LH_45,45,45,Finance Building,B000019121,B000019121,Finance Building,88.6
LH_17800,17800,17800,First Group Centre,B000109128,B000109128,First Group Centre,90.0
LH_1336,1336,1336,Five Pacific Place,B000076172,B000076172,Five Pacific Place,90.0
LH_1594,1594,1594,FLK Tower,B000120993,B000120993,Flk Tower,90.0
LH_1159,1159,1159,Fortis Tower,B000007606,B000007606,Fortis Bank Tower,88.6
LH_16276,16276,16276,Fuk Shing Commercial Building,B000059831,B000059831,Fuk Shing Commercial Building,90.0
LH_4736,4736,4736,Fullerton Centre,B000007047,B000007047,Fullerton Centre,90.0
LH_1000,1000,1000,Gaylord Commercial Building,B000007387,B000007387,Gaylord Commercial Building,86.8
LH_5669,5669,5669,Gee Luen Hing Industrial Building,B000019005,B000019005,Effort Industrial Building,75.2
LH_17427,17427,17427,Global Plaza,B000100035,B000100035,Global Plaza,90.0
LH_3829,3829,3829,Global Trade Square,B000077711,B000077711,Global Trade Square,90.0
LH_1424,1424,1424,Golden Hill Commercial Mansion,B000007291,B000007291,Golden Hill Mansion,88.6
LH_17577,17577,17577,Golden Resources Tower,B000107092,B000107092,Golden Resources Tower,88.0
LH_991,991,991,Golden Star Building,B000007407,B000007407,Golden Star Building,88.6
LH_2584,2584,2584,Goodfit Commercial Building,B000019507,B000019507,Goodfit Commercial Building,88.2
LH_2004,2004,2004,Great Eagle Centre,B000007610,B000007610,Great Eagle Centre,90.0
LH_2244,2244,2244,Great Smart Tower,B000019544,B000019544,Great Smart Tower,83.4
LH_364,364,364,Greatmany Centre,B000019549,B000019549,Greatmany Centre,88.8
LH_1675,1675,1675,Greenwich Centre,B000020293,B000020293,Greenwich Centre,90.0
LH_3412,3412,3412,Guangdong Tours Centre,B000007713,B000007713,Guangdong Tours Centre,90.0
LH_2160,2160,2160,Guardian House,B000019590,B000019590,Guardian House,88.2
LH_1732,1732,1732,Hang Seng North Point Building,B000007479,B000007479,Hang Seng North Point Building,87.6
LH_2620,2620,2620,Harbour Crystal Centre,B000007295,B000007295,Harbour Crystal Centre,90.0
LH_1148,1148,1148,Harcourt House,B000007612,B000007612,Harcourt House,90.0
LH_11220,11220,11220,Haven Commercial Building,B000007015,B000007015,Haven Commercial Building,90.0
LH_1684,1684,1684,Henan Electric Development Building,B000019772,B000019772,Henan Electric Development Building,87.6
LH_1023,1023,1023,Henfa Commercial Building,B000007356,B000007356,Henfa Commercial Building,88.6
LH_360,360,360,Heng Shan Centre,B000019781,B000019781,Heng Shan Centre,87.2
LH_3220,3220,3220,Hermes Commercial Centre,B000019801,B000019801,Hermes Commercial Centre,90.0
LH_3431,3431,3431,Hong Kong Pacific Centre,B000020055,B000020055,Hk Pacific Centre,84.0
LH_641,641,641,Hong Kong Plaza,B000020056,B000020056,Hong Kong Plaza,90.0
LH_3284,3284,3284,Hong Kong Spinners Industrial Building Phase 6,B000007930,B000007930,"Hong Kong Spinners Industrial Building, Phase Vi",88.8
LH_365,365,365,Hopewell Centre,B000020128,B000020128,Hopewell Centre,90.0
LH_6182,6182,6182,Horizon Plaza,B000090803,B000090803,Horizon Plaza,90.0
LH_2660,2660,2660,Houston Centre,B000020143,B000020143,Houston Centre,90.0
LH_4609,4609,4609,Hung To Centre,B000024099,B000024099,Hung To Centre,86.8
LH_993,993,993,Hung To Commercial Building,B000007398,B000007398,Hung To Commercial Building,88.6
LH_6374,6374,6374,Hunghom Commercial Centre A,B000007889,B000007889,Hunghom Commercial Centre Tower A,90.0
LH_6375,6375,6375,Hunghom Commercial Centre B,B000007890,B000007890,Hunghom Commercial Centre Tower B,90.0
LH_1387,1387,1387,Hysan Place,B000054180,B000054180,Hysan Place,90.0
LH_2616,2616,2616,Inter-Continental Plaza,B000020247,B000020247,Inter-continental Plaza (formerly Known As Asean Plaza),90.0
LH_8230,8230,8230,International Commerce Centre,B000063541,B000063541,International Commerce Centre,90.0
LH_17296,17296,17296,International Enterprise Centre I,B000099323,B000099323,International Enterprise Centre 1,85.8
LH_15229,15229,15229,International Enterprise Centre III,B000090123,B000090123,International Enterprise Centre 3,88.19999999999999
LH_15083,15083,15083,International Plaza,B000007520,B000007520,International Plaza,90.0
LH_1856,1856,1856,Island Beverley,B000007714,B000007714,Island Beverley,90.0
LH_1665,1665,1665,Island Place Tower,B000020264,B000020264,Island Place Tower,90.0
LH_1906,1906,1906,Java Road 108 Commercial Centre,B000059846,B000059846,Java Road 108 Commercial Centre,90.0
LH_1020,1020,1020,Jie Yang Building,B000007367,B000007367,Jie Yang Building,88.4
LH_352,352,352,Jonsim Place,B000020320,B000020320,Jonsim Place,88.6
LH_6001,6001,6001,Jubilee Centre,B000020339,B000020339,Jubilee Centre,82.8
LH_3780,3780,3780,Jupiter Tower,B000020349,B000020349,Jupiter Tower,75.8
LH_1903,1903,1903,K. Wah Centre,B000007017,B000007017,K. Wah Centre,90.0
LH_4519,4519,4519,K83,B000088026,B000088026,K83,90.0
LH_1388,1388,1388,Ka Nin Wah Commercial Building,B000007280,B000007280,Ka Nin Wah Commercial Building,90.0
LH_1028,1028,1028,Kai Kwong Commercial Building,B000007346,B000007346,Kai Kwong Commercial Building,86.6
LH_3432,3432,3432,Kai Seng Commercial Centre,B000020428,B000020428,Kaiseng Commercial Centre,88.8
LH_1367,1367,1367,Kam Chung Commercial Building,B000007306,B000007306,Kam Chung Commercial Building,90.0
LH_2576,2576,2576,Kam Fung Commercial Building,B000020471,B000020471,Kam Fung Commercial Building,90.0
LH_6823,6823,6823,KC100,B000078692,B000078692,Kc100,90.0
LH_6512,6512,6512,Kee Shing Centre,B000020600,B000020600,Kee Shing Centre,90.0
LH_354,354,354,Keen Hung Commercial Building,B000063830,B000063830,Keen Hung Commercial Building,87.4
LH_2960,2960,2960,Kelly Commercial Centre,B000006951,B000006951,Kelly Commercial Centre,90.0
LH_6510,6510,6510,Kimberley House,B000020662,B000020662,Kimberley House,87.8
LH_11204,11204,11204,Kin Sang Commercial Centre,B000076026,B000076026,Kin Sang Commercial Centre,90.0
LH_1406,1406,1406,Kin Tak Fung Commercial Building,B000007317,B000007317,Kin Tak Fung Commercial Building,90.0
LH_11203,11203,11203,King Palace Plaza,B000075970,B000075970,King Palace Plaza,90.0
LH_1687,1687,1687,King's Commercial Centre,B000054308,B000054308,King's Commercial Centre,90.0
LH_1503,1503,1503,Kingpower Commercial Building,B000019726,B000019726,Kingpower Commercial Building,88.4
LH_7788,7788,7788,Kings Tower,B000055044,B000055044,Kings Tower,90.0
LH_16557,16557,16557,Kings Wing Plaza 1,B000079981,B000079981,Kings Wing Plaza 1,90.0
LH_16558,16558,16558,Kings Wing Plaza 2,B000080275,B000080275,Kings Wing Plaza 2,90.0
LH_2810,2810,2810,Kingsfield Centre,B000054309,B000054309,Kingsfield Centre,88.2
LH_995,995,995,Kingswell Commercial Tower,B000020778,B000020778,Kingswell Commercial Tower,90.0
LH_988,988,988,Kiu Yin Commercial Building,B000007399,B000007399,Kiu Yin Commercial Building,90.0
LH_6550,6550,6550,Knutsford Commercial Building,B000020808,B000020808,Knutsford Commercial Building,90.0
LH_2055,2055,2055,Kodak House II,B000020827,B000020827,Kodak House Ii,90.0
LH_6549,6549,6549,Koon Fook Centre,B000020842,B000020842,Koon Fook Centre,90.0
LH_7257,7257,7257,Kowloon Bay International Trade & Exhibition Centre,B000020050,B000020050,Kowloon Bay International Trade & Exhibition Centre,90.0
LH_4679,4679,4679,Kowloon Centre,B000020868,B000020868,Kowloon Centre,76.8
LH_6836,6836,6836,Kowloon Commerce Centre Tower A,B000066161,B000066161,Kowloon Commerce Centre Tower A,88.6
LH_6837,6837,6837,Kowloon Commerce Centre Tower B,B000061130,B000061130,Kowloon Commerce Centre Tower B,90.0
LH_3317,3317,3317,Kowloon Plaza,B000007230,B000007230,Kowloon Plaza,90.0
LH_1816,1816,1816,KP Tower,B000080453,B000080453,Kp Tower,90.0
LH_4577,4577,4577,KTR350,B000116170,B000116170,Ktr350,90.0
LH_3477,3477,3477,Kundamal House,B000020902,B000020902,Kundamal House,88.6
LH_1659,1659,1659,Kwai Hung Holdings Centre,B000007413,B000007413,Kwai Hung Holdings Centre,90.0
LH_8149,8149,8149,Kwan Chart Tower,B000054657,B000054657,Kwan Chart Tower,90.0
LH_7362,7362,7362,Laford Centre,B000021067,B000021067,Laford Centre,90.0
LH_3155,3155,3155,Langham Place Office Tower,B000062592,B000062592,Langham Place,90.0
LH_6308,6308,6308,Laws Commercial Plaza,B000021167,B000021167,Laws Commercial Plaza,88.4
LH_2915,2915,2915,Le Diamant,B000078690,B000078690,Le Diamant,87.6
LH_6343,6343,6343,Lee Garden Five,B000088774,B000088774,Lee Garden Five,90.0
LH_6342,6342,6342,Lee Garden One,B000086291,B000086291,Lee Garden One,90.0
LH_1072,1072,1072,Lee Garden Six,B000088775,B000088775,Lee Garden Six,90.0
LH_1635,1635,1635,Lee Garden Two,B000088776,B000088776,Lee Garden Two,78.8
LH_7016,7016,7016,Legend Tower,B000019120,B000019120,Legend Tower,90.0
LH_1076,1076,1076,Leighton Centre,B000021247,B000021247,Leighton Centre,90.0
LH_1124,1124,1124,Lippo Centre Tower 1,B000022537,B000022537,Lippo Centre Tower Two,87.0
LH_1078,1078,1078,Lippo Leighton Tower,B000007717,B000007717,Lippo Leighton Tower,90.0
LH_2297,2297,2297,Lippo Sun Plaza,B000021343,B000021343,Lippo Sun Plaza,90.0
LH_985,985,985,Lockhart Centre,B000007393,B000007393,Lockhart Centre,90.0
LH_1098,1098,1098,Loong Wan Building,B000059865,B000059865,Loong Wan Building,88.4
LH_989,989,989,Loyong Court Commercial Building,B000007335,B000007335,Loyong Court Commercial Building,88.6
LH_7331,7331,7331,LT Tower,B000059634,B000059634,Lt Tower,90.0
LH_2249,2249,2249,Lucky Centre,B000024150,B000024150,Lucky Centre,84.6
LH_3735,3735,3735,Lyndhurst Tower,B000054688,B000054688,1 Lyndhurst Tower,82.8
LH_6826,6826,6826,Mai Wo Industrial Building,B000021616,B000021616,Mai Wo Industrial Building,90.0
LH_1151,1151,1151,Malaysia Building,B000021620,B000021620,Malaysia Building,88.4
LH_178,178,178,Man Hing Commercial Building,B000007676,B000007676,Man Hing Commercial Building,90.0
LH_6829,6829,6829,Manhattan Centre,B000007795,B000007795,Manhattan Centre,77.4
LH_4587,4587,4587,Manulife Place,B000082795,B000082795,Manulife Place,90.0
LH_6026,6026,6026,Mass Resources Development Building,B000021783,B000021783,Mass Resources Development Building,90.0
LH_1686,1686,1686,Max Share Centre,B000007481,B000007481,Max Share Centre,90.0
LH_7919,7919,7919,Maxgrand Plaza,B000080611,B000080611,Maxgrand Plaza,90.0
LH_3430,3430,3430,Maxwell Centre,B000020248,B000020248,Maxwell Centre,90.0
LH_1620,1620,1620,McDonald's Building,B000007718,B000007718,Mcdonald's Building,90.0
LH_4499,4499,4499,Mega Cube,B000085262,B000085262,Mega Cube,90.0
LH_1404,1404,1404,Methodist House,B000063608,B000063608,Methodist House,88.2
LH_17718,17718,17718,Metro South Tower 1,B000022837,B000022837,Metro South Tower,88.8
LH_3440,3440,3440,Metroplaza Tower 1,B000007788,B000007788,Tower Ii Metroplaza,86.4
LH_6868,6868,6868,Metropole Building,B000007161,B000007161,Metropole Building,81.2
LH_7223,7223,7223,Metropole Square,B000021870,B000021870,Metropole Square,90.0
LH_17402,17402,17402,MG 162,B000113283,B000113283,Mg 162,88.4
LH_5367,5367,5367,MG Tower,B000022558,B000022558,Mg Tower,90.0
LH_6827,6827,6827,Millennium Trade Centre,B000059874,B000059874,Millennium Trade Centre,88.6
LH_2577,2577,2577,Mirage Tower,B000063744,B000063744,Mirage Tower,88.2
LH_2661,2661,2661,Mirror Tower,B000021935,B000021935,Mirror Tower,90.0
LH_7332,7332,7332,Montery Plaza,B000080483,B000080483,Montery Plaza,90.0
LH_2781,2781,2781,Morecrown Commercial Building,B000059842,B000059842,Morecrown Commercial Building,90.0
LH_2254,2254,2254,Morrison Commercial Building,B000021973,B000021973,Morrison Commercial Building,90.0
LH_2252,2252,2252,Morrison Plaza,B000021974,B000021974,Morrison Plaza,90.0
LH_3481,3481,3481,Multifield Plaza,B000022003,B000022003,Multifield Plaza,88.0
LH_2535,2535,2535,Nam Wo Hong Building,B000022040,B000022040,Nam Wo Hong Building,90.0
LH_13714,13714,13714,Nan Fung Centre,B000006511,B000006511,Nan Fung Centre,82.8
LH_6565,6565,6565,Nan Fung Commercial Centre,B000007221,B000007221,Nan Fung Commercial Centre,90.0
LH_2992,2992,2992,Nathan Centre,B000006952,B000006952,Nathan Centre,88.4
LH_7425,7425,7425,NCB Innovation Centre,B000093889,B000093889,Ncb Innovation Centre,90.0
LH_1154,1154,1154,Neich Tower,B000007607,B000007607,Neich Tower,77.2
LH_3102,3102,3102,New East Ocean Centre,B000022082,B000022082,New East Ocean Centre,90.0
LH_3103,3103,3103,New Mandarin Plaza Twr A,B000053342,B000053342,Mandarin Plaza Tower A,90.0
LH_3104,3104,3104,New Mandarin Plaza Twr B,B000053343,B000053343,Mandarin Plaza Tower B,90.0
LH_6239,6239,6239,New Trend Centre,B000022103,B000022103,New Trend Centre,84.6
LH_114,114,114,Nexxus Building,B000084322,B000084322,Nexxus Building,90.0
