Building Name,Address,Detail URL
New Timely Factory Building,497 Castle Peak Road,https://www.midlandici.com.hk/ics/property/building/details/B000022098/New-Timely-Factory-Building
No.9 Wing Hong Street,9 Wing Hong Street,https://www.midlandici.com.hk/ics/property/building/details/B000007904/No.9-Wing-Hong-Street
One Two One,121 King Lam Street,https://www.midlandici.com.hk/ics/property/building/details/B000101679/One-Two-One
Orient International Tower,1018 Tai Nan West Street,https://www.midlandici.com.hk/ics/property/building/details/B000094024/Orient-International-Tower
Peakcastle,476 Castle Peak Road,https://www.midlandici.com.hk/ics/property/building/details/B000022467/Peakcastle
Peninsula Tower,534-548 Castle Peak Road,https://www.midlandici.com.hk/ics/property/building/details/B000022528/Peninsula-Tower
Premier Centre,20 Cheung Shun Street,https://www.midlandici.com.hk/ics/property/building/details/B000007229/Premier-Centre
Prowell Asia Centre,926 Cheung Sha Wan Road,https://www.midlandici.com.hk/ics/property/building/details/B000094023/Prowell-Asia-Centre
Saxon Tower,7 Cheung Shun Street,https://www.midlandici.com.hk/ics/property/building/details/B000059580/Saxon-Tower
Siu Wai Industrial Centre,29-33 Wing Hong Street,https://www.midlandici.com.hk/ics/property/building/details/B000007231/Siu-Wai-Industrial-Centre
Tai Shing Factory Building,273-279 Un Chau Street,https://www.midlandici.com.hk/ics/property/building/details/B000077739/Tai-Shing-Factory-Building
The Agora,55 Wing Hong Street,https://www.midlandici.com.hk/ics/property/building/details/B000081953/The-Agora
Times Tower,928 Cheung Sha Wan Road,https://www.midlandici.com.hk/ics/property/building/details/B000007233/Times-Tower
Trendy Centre,682 Castle Peak Road,https://www.midlandici.com.hk/ics/property/building/details/B000023109/Trendy-Centre
Two Bedford Place,75 Bedford Road,https://www.midlandici.com.hk/ics/property/building/details/B000121963/Two-Bedford-Place
Verde Heights,No 550 Castle Peak Road,https://www.midlandici.com.hk/ics/property/building/details/B000122544/Verde-Heights
Vita Green Tower,918 Cheung Sha Wan Road,https://www.midlandici.com.hk/ics/property/building/details/B000094022/Vita-Green-Tower
Vogue Centre,696 Castle Peak Road,https://www.midlandici.com.hk/ics/property/building/details/B000007235/Vogue-Centre
W668,"668, 670, 672, 674, 676, 678, 680 And 668-680 Castle Peak Road",https://www.midlandici.com.hk/ics/property/building/details/B000081664/W668
Wah Shing Industrial Building,18 Cheung Shun Street,https://www.midlandici.com.hk/ics/property/building/details/B000024612/Wah-Shing-Industrial-Building
Wing Hong Centre,18 Wing Hong Street,https://www.midlandici.com.hk/ics/property/building/details/B000007236/Wing-Hong-Centre
Yee Tak Factory Building,42 Wing Hong Street,https://www.midlandici.com.hk/ics/property/building/details/B000025310/Yee-Tak-Factory-Building
Ying Tung Industrial Building,802 Lai Chi Kok Road,https://www.midlandici.com.hk/ics/property/building/details/B000025402/Ying-Tung-Industrial-Building
Yuen Shing Industrial Building,1033 Yee Kuk West Street,https://www.midlandici.com.hk/ics/property/building/details/B000025555/Yuen-Shing-Industrial-Building
Eldex Industrial Building,21 Ma Tau Wai Road,https://www.midlandici.com.hk/ics/property/building/details/B000007488/Eldex-Industrial-Building
