building_key,midland_id,midland_original_key,midland_name,centanet_id,centanet_original_key,centanet_name,match_score
MD_B000104584,B000104584,B000104584,Icity Tower 1,b747b203-9e3d-4483-9733-2f8fe30dd6ed,b747b203-9e3d-4483-9733-2f8fe30dd6ed,iCITY,90.0
MD_B000018639,B000018639,B000018639,Jing Hin Industrial Building,9a39adc0-be23-48b3-b997-cab8784f89d0,9a39adc0-be23-48b3-b997-cab8784f89d0,Ching Hing Industrial Building,85.8
MD_B000020449,B000020449,B000020449,Kam Bun Industrial Building,ddbc056b-c624-45d9-9ba9-1b41007c7abd,ddbc056b-c624-45d9-9ba9-1b41007c7abd,Kam Bun Industrial Building,90.0
MD_B000020676,B000020676,B000020676,Kin Hing Industrial Building,e15bea70-698c-497e-82c8-e50137a1e8e1,e15bea70-698c-497e-82c8-e50137a1e8e1,Kin Hing Industrial Building,90.0
MD_B000059864,B000059864,B000059864,Kingsford Industrial Bldg. Phase Ii,7e580b6f-2df9-47fd-b95e-49148ca7730a,7e580b6f-2df9-47fd-b95e-49148ca7730a,Kingsford Industrial Building II,90.0
MD_B000020771,B000020771,B000020771,Kingsford Industrial Building Phase I,8d648d00-8a9e-4b7b-a97e-4816309240bd,8d648d00-8a9e-4b7b-a97e-4816309240bd,Kingsford Industrial Building I,90.0
MD_B000020836,B000020836,B000020836,Kong Sheng Factory Building,db12d312-bc5d-4815-a9d4-58265a4ffcd3,db12d312-bc5d-4815-a9d4-58265a4ffcd3,Kong Sheng Factory Building,89.0
MD_B000020853,B000020853,B000020853,Koon Wo Industrial Building,45fe8ce4-9a4b-421f-9f60-898d47d27d54,45fe8ce4-9a4b-421f-9f60-898d47d27d54,Koon Wo Industrial Building,90.0
MD_B000007030,B000007030,B000007030,Kwai Cheong Centre,93b37b8d-511c-4936-9f05-ad3d8eada20c,93b37b8d-511c-4936-9f05-ad3d8eada20c,Kwai Cheong Centre,77.6
MD_B000007031,B000007031,B000007031,Kwai Shun Industrial Centre,aaa3d2a6-9116-4c15-b486-366c0c51efb9,aaa3d2a6-9116-4c15-b486-366c0c51efb9,Kwai Shun Industrial Centre,90.0
MD_B000020949,B000020949,B000020949,Kwai Wan Industrial Building,86a8f519-0c72-4696-af13-3b4a5a1b0f28,86a8f519-0c72-4696-af13-3b4a5a1b0f28,Wah Wan Industrial Building,77.0
MD_B000020953,B000020953,B000020953,Kwai Wu Industrial Building,2837a5e8-51a0-43f1-8285-f647b94f4d1c,2837a5e8-51a0-43f1-8285-f647b94f4d1c,Kwai Wu Industrial Building,88.8
MD_B000021053,B000021053,B000021053,Lmk Development Estate,68cff5f4-4f80-4bd7-9dc7-219900fa514f,68cff5f4-4f80-4bd7-9dc7-219900fa514f,L.M.K. Development Estate,84.0
MD_B000021607,B000021607,B000021607,Mai Luen Industrial Building,96caf650-b792-4d78-982f-830fb6a0f94e,96caf650-b792-4d78-982f-830fb6a0f94e,Mai Luen Industrial Building,90.0
MD_B000021611,B000021611,B000021611,Mai Shun Industrial Building,0fe40ecc-9063-4372-b7f8-5180200edfca,0fe40ecc-9063-4372-b7f8-5180200edfca,Mai Shun Industrial Building,86.0
MD_B000021615,B000021615,B000021615,Mai Wah Industrial Building,dbc6b607-f0f9-4f03-8802-673d7b186b46,dbc6b607-f0f9-4f03-8802-673d7b186b46,Mai Wah Industrial Building,90.0
MD_B000021665,B000021665,B000021665,Man Lee Industrial Building,c4340c20-7fe1-478f-b6db-2409c84e98d6,c4340c20-7fe1-478f-b6db-2409c84e98d6,Man Lee Industrial Building,75.0
MD_B000021679,B000021679,B000021679,Man Shing Industrial Building,508f48a3-905f-4dfb-a175-1cb4d19ec0d0,508f48a3-905f-4dfb-a175-1cb4d19ec0d0,Man Shing Industrial Building,86.2
MD_B000021831,B000021831,B000021831,Mei Kei Industrial Building,2a4ca6e1-f519-4f3a-9c5c-9caaf32565b9,2a4ca6e1-f519-4f3a-9c5c-9caaf32565b9,Mei Kei Industrial Building,83.6
MD_B000056108,B000056108,B000056108,Metro Loft,de524bff-ac79-4eef-884a-022a7cb4cbd2,de524bff-ac79-4eef-884a-022a7cb4cbd2,Metro Loft,90.0
MD_B000021936,B000021936,B000021936,Mita Centre,46996fa6-54d3-43ce-a169-b4d3c970925b,46996fa6-54d3-43ce-a169-b4d3c970925b,Mita Centre,85.6
MD_B000022478,B000022478,B000022478,Park Sun Building,661e013f-abac-4c15-a70d-874eb3964576,661e013f-abac-4c15-a70d-874eb3964576,Park Sun Building,90.0
MD_B000007120,B000007120,B000007120,Profit Industrial Building,189edd65-5a16-48cc-a8e4-672a196f914c,189edd65-5a16-48cc-a8e4-672a196f914c,Profit Industrial Building,82.8
MD_B000007789,B000007789,B000007789,"Regent Centre, Tower A",80e870ee-2dc6-4143-a2d6-c8f55b12914d,80e870ee-2dc6-4143-a2d6-c8f55b12914d,Regent Centre A,90.0
MD_B000007790,B000007790,B000007790,"Regent Centre, Tower B",8ea09d58-b003-4d45-90ca-4e97f154b813,8ea09d58-b003-4d45-90ca-4e97f154b813,Regent Centre B,90.0
MD_B000007113,B000007113,B000007113,Riley House,5c7e69ee-eb7e-48f5-8732-0c644155c90e,5c7e69ee-eb7e-48f5-8732-0c644155c90e,Riley House,90.0
MD_B000007114,B000007114,B000007114,Roxy Industrial Centre,1d3fbf62-7298-4889-a571-72b064e742e6,1d3fbf62-7298-4889-a571-72b064e742e6,Roxy Industrial Centre,83.2
MD_B000023440,B000023440,B000023440,So Tao Centre,a7783626-8b81-485a-8a4d-6400463c0b15,a7783626-8b81-485a-8a4d-6400463c0b15,So Tao Centre,90.0
MD_B000023446,B000023446,B000023446,Song Ling Industrial Building,7a63ce58-04e9-4029-959d-89777944d1ed,7a63ce58-04e9-4029-959d-89777944d1ed,Song Ling Industrial Building,90.0
MD_B000007232,B000007232,B000007232,Sterling Centre,d6dc6b8a-11f2-4033-bc8d-aec8146d1a53,d6dc6b8a-11f2-4033-bc8d-aec8146d1a53,Sterling Centre,90.0
MD_B000007116,B000007116,B000007116,Sun Fung Centre,3efba45c-8d14-44bb-9f62-68e248dff833,3efba45c-8d14-44bb-9f62-68e248dff833,Sun Fung Centre,90.0
MD_B000023631,B000023631,B000023631,Sung Kee Factory Building,f6062e58-16eb-45cb-aeab-544d267a90d8,f6062e58-16eb-45cb-aeab-544d267a90d8,Sung Kee Factory Building,90.0
MD_B000020917,B000020917,B000020917,Sung's Tower,ae6a5915-802b-4b00-8e7c-7e5d1f0ce8c3,ae6a5915-802b-4b00-8e7c-7e5d1f0ce8c3,Sung's Tower,90.0
MD_B000023780,B000023780,B000023780,Tai Tak Industrial Building,aa2d922c-34c1-45b8-a610-2a160aadcdac,aa2d922c-34c1-45b8-a610-2a160aadcdac,Tai Tak Industrial Building,90.0
MD_B000020465,B000020465,B000020465,Tak Kee Group Centre,8a605e96-4caa-43a8-bf46-69bd97ea4a12,8a605e96-4caa-43a8-bf46-69bd97ea4a12,Tak Kee Group Centre,90.0
MD_B000077104,B000077104,B000077104,The Galaxy,ce53604d-a5b4-44dd-9e6c-faf12923b698,ce53604d-a5b4-44dd-9e6c-faf12923b698,The Galaxy,90.0
MD_B000080612,B000080612,B000080612,The Star,94d2240b-66df-47d1-b312-5cf19207cb88,94d2240b-66df-47d1-b312-5cf19207cb88,The Star,88.6
MD_B000024415,B000024415,B000024415,The Venus Industrial Building,00d93d70-8364-4c4a-a571-05a0f28e46d4,00d93d70-8364-4c4a-a571-05a0f28e46d4,Venus Industrial Building,90.0
MD_B000059544,B000059544,B000059544,Tower A Viking Technology And Business Centre,38fd0b5d-c3e2-4dcb-b840-2804808905ce,38fd0b5d-c3e2-4dcb-b840-2804808905ce,Viking Technology & Business Centre A,78.0
MD_B000067518,B000067518,B000067518,Tower B Viking Technology And Business Centre,cbbf10ad-90a5-4d29-89ea-2e3c913f2686,cbbf10ad-90a5-4d29-89ea-2e3c913f2686,Viking Technology & Business Centre B,90.0
MD_B000007121,B000007121,B000007121,Trans Asia Centre,3d03978b-f837-4593-babf-9dbaca23524a,3d03978b-f837-4593-babf-9dbaca23524a,Trans Asia Centre,90.0
MD_B000007234,B000007234,B000007234,Trust Centre,d2fe32ec-185e-4b79-97c1-9b3ad250c3ae,d2fe32ec-185e-4b79-97c1-9b3ad250c3ae,Trust Centre,90.0
MD_B000024182,B000024182,B000024182,Tsing Yi Industrial Centre Phase I Block A,372e9041-6897-493c-be04-5f5400ac3ff6,372e9041-6897-493c-be04-5f5400ac3ff6,"Tsing Yi Industrial Centre Ph. 2, Blk. D",83.4
MD_B000059745,B000059745,B000059745,Tsing Yi Industrial Centre Phase I Block B,fb387c43-746e-42c9-af01-a99cdb7759a8,fb387c43-746e-42c9-af01-a99cdb7759a8,"Tsing Yi Industrial Centre Ph. 1, Blk. B",83.4
MD_B000024263,B000024263,B000024263,Tung Chun Industrial Building Stage I (block A),8418f18e-ef67-4b0f-9601-f06e1d880c90,8418f18e-ef67-4b0f-9601-f06e1d880c90,Tung Chun Industrial Building A,90.0
MD_B000059548,B000059548,B000059548,Tung Chun Industrial Building Stage Ii (block B),6458577b-989a-4495-82d2-7b4be772c687,6458577b-989a-4495-82d2-7b4be772c687,Tung Chun Industrial Building B,90.0
MD_B000024293,B000024293,B000024293,Tung Luen Industrial Building,cb7f3432-6d84-4427-8bb2-ef7dc717c2d0,cb7f3432-6d84-4427-8bb2-ef7dc717c2d0,Tung Luen Industrial Building,85.4
